Nodes: 601, Area: 10000, Total Time: 136, Terrain Creation: 12, Node LOS Calculations: 124
Nodes: 601, Area: 10000, Total Time: 145, Terrain Creation: 13, Node LOS Calculations: 132
Nodes: 601, Area: 10000, Total Time: 146, Terrain Creation: 13, Node LOS Calculations: 133
Nodes: 601, Area: 10000, Total Time: 157, Terrain Creation: 15, Node LOS Calculations: 142
Nodes: 601, Area: 10000, Total Time: 158, Terrain Creation: 17, Node LOS Calculations: 141
Nodes: 601, Area: 10000, Total Time: 147, Terrain Creation: 17, Node LOS Calculations: 130
Nodes: 601, Area: 10000, Total Time: 155, Terrain Creation: 23, Node LOS Calculations: 132
Nodes: 601, Area: 10000, Total Time: 148, Terrain Creation: 13, Node LOS Calculations: 135
Nodes: 701, Area: 10000, Total Time: 160, Terrain Creation: 13, Node LOS Calculations: 147
Nodes: 701, Area: 10000, Total Time: 167, Terrain Creation: 13, Node LOS Calculations: 154
Nodes: 701, Area: 10000, Total Time: 179, Terrain Creation: 13, Node LOS Calculations: 166
Nodes: 701, Area: 10000, Total Time: 167, Terrain Creation: 13, Node LOS Calculations: 154
Nodes: 701, Area: 10000, Total Time: 165, Terrain Creation: 14, Node LOS Calculations: 151
Nodes: 701, Area: 10000, Total Time: 175, Terrain Creation: 21, Node LOS Calculations: 154
Nodes: 701, Area: 10000, Total Time: 184, Terrain Creation: 23, Node LOS Calculations: 161
Nodes: 701, Area: 10000, Total Time: 167, Terrain Creation: 17, Node LOS Calculations: 150
Nodes: 701, Area: 10000, Total Time: 169, Terrain Creation: 16, Node LOS Calculations: 153
Nodes: 701, Area: 10000, Total Time: 165, Terrain Creation: 18, Node LOS Calculations: 147
Nodes: 701, Area: 10000, Total Time: 171, Terrain Creation: 14, Node LOS Calculations: 157
Nodes: 701, Area: 10000, Total Time: 178, Terrain Creation: 16, Node LOS Calculations: 162
Nodes: 701, Area: 10000, Total Time: 174, Terrain Creation: 16, Node LOS Calculations: 158
Nodes: 701, Area: 10000, Total Time: 170, Terrain Creation: 15, Node LOS Calculations: 155
Nodes: 701, Area: 10000, Total Time: 168, Terrain Creation: 16, Node LOS Calculations: 152
Nodes: 701, Area: 10000, Total Time: 168, Terrain Creation: 17, Node LOS Calculations: 151
Nodes: 701, Area: 10000, Total Time: 166, Terrain Creation: 12, Node LOS Calculations: 154
Nodes: 701, Area: 10000, Total Time: 164, Terrain Creation: 19, Node LOS Calculations: 145
Nodes: 701, Area: 10000, Total Time: 179, Terrain Creation: 19, Node LOS Calculations: 160
Nodes: 701, Area: 10000, Total Time: 174, Terrain Creation: 15, Node LOS Calculations: 159
Nodes: 801, Area: 10000, Total Time: 188, Terrain Creation: 12, Node LOS Calculations: 176
Nodes: 801, Area: 10000, Total Time: 192, Terrain Creation: 16, Node LOS Calculations: 176
Nodes: 801, Area: 10000, Total Time: 183, Terrain Creation: 16, Node LOS Calculations: 167
Nodes: 801, Area: 10000, Total Time: 191, Terrain Creation: 20, Node LOS Calculations: 171
Nodes: 801, Area: 10000, Total Time: 204, Terrain Creation: 12, Node LOS Calculations: 192
Nodes: 801, Area: 10000, Total Time: 205, Terrain Creation: 14, Node LOS Calculations: 191
Nodes: 801, Area: 10000, Total Time: 190, Terrain Creation: 16, Node LOS Calculations: 174
Nodes: 801, Area: 10000, Total Time: 197, Terrain Creation: 17, Node LOS Calculations: 180
Nodes: 801, Area: 10000, Total Time: 192, Terrain Creation: 19, Node LOS Calculations: 173
Nodes: 801, Area: 10000, Total Time: 175, Terrain Creation: 12, Node LOS Calculations: 163
Nodes: 801, Area: 10000, Total Time: 184, Terrain Creation: 18, Node LOS Calculations: 166
Nodes: 801, Area: 10000, Total Time: 185, Terrain Creation: 15, Node LOS Calculations: 170
Nodes: 801, Area: 10000, Total Time: 191, Terrain Creation: 10, Node LOS Calculations: 181
Nodes: 801, Area: 10000, Total Time: 203, Terrain Creation: 21, Node LOS Calculations: 182
Nodes: 801, Area: 10000, Total Time: 186, Terrain Creation: 17, Node LOS Calculations: 169
Nodes: 801, Area: 10000, Total Time: 191, Terrain Creation: 14, Node LOS Calculations: 177
Nodes: 801, Area: 10000, Total Time: 197, Terrain Creation: 14, Node LOS Calculations: 183
Nodes: 801, Area: 10000, Total Time: 187, Terrain Creation: 16, Node LOS Calculations: 171
