N36W113.hgt, ew: 100, sw: 100, (700, 900), 5.178912891289129%, 5.54346794553404
N36W113.hgt, ew: 100, sw: 100, (700, 1000), 4.301446144614461%, 4.543459692378353
N36W113.hgt, ew: 100, sw: 100, (700, 1100), 5.6143384338433835%, 6.986601328212286
N36W113.hgt, ew: 100, sw: 100, (700, 1200), 3.646950695069508%, 3.275469052213357
N36W113.hgt, ew: 100, sw: 100, (700, 1300), 4.094583458345835%, 3.732316679513029
N36W113.hgt, ew: 100, sw: 100, (700, 1400), 5.135432543254327%, 4.438917011795857
N36W113.hgt, ew: 100, sw: 100, (700, 1500), 10.446146614661464%, 8.79558188791563
N36W113.hgt, ew: 100, sw: 100, (700, 1600), 5.157889788978897%, 4.27469899892496
N36W113.hgt, ew: 100, sw: 100, (700, 1700), 4.307699769976996%, 3.08310572130586
N36W113.hgt, ew: 100, sw: 100, (700, 1800), 3.4235333533353356%, 2.8525343133819288
N36W113.hgt, ew: 100, sw: 100, (700, 1900), 9.604731473147314%, 7.695028527070189
N36W113.hgt, ew: 100, sw: 100, (700, 2000), 6.652091209120911%, 6.186514193447957
N36W113.hgt, ew: 100, sw: 100, (700, 2100), 4.975582558255826%, 5.244492266883693
N36W113.hgt, ew: 100, sw: 100, (700, 2200), 6.1366266626662656%, 5.529774074671108
N36W113.hgt, ew: 100, sw: 100, (700, 2300), 4.006516651665167%, 3.867448292185931
N36W113.hgt, ew: 100, sw: 100, (700, 2400), 14.120299029902988%, 8.996322848293872
N36W113.hgt, ew: 100, sw: 100, (700, 2500), 41.770500050005055%, 22.75498969332415
N36W113.hgt, ew: 100, sw: 100, (700, 2600), 8.912986298629862%, 6.645788439848224
N36W113.hgt, ew: 100, sw: 100, (700, 2700), 2.6786148614861487%, 2.647647872938264
N36W113.hgt, ew: 100, sw: 100, (700, 2800), 5.519468946894687%, 4.960594346224142
N36W113.hgt, ew: 100, sw: 100, (700, 2900), 3.4605030503050314%, 3.474444463868997
