Time 20.28s, nodes: 20, transmission: 1, radiomedium: UDGM, acv: 9.2299309931%
Time 21.09s, nodes: 20, transmission: 1, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 20.33s, nodes: 20, transmission: 1, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 21.97s, nodes: 20, transmission: 1, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 29.26s, nodes: 20, transmission: 1, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 18.73s, nodes: 20, transmission: 1, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 21.21s, nodes: 20, transmission: 1, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 20.03s, nodes: 20, transmission: 1, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 19.99s, nodes: 20, transmission: 1, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 20.22s, nodes: 20, transmission: 1, radiomedium: UDGM, acv: 9.2299309931%
Time 19.04s, nodes: 20, transmission: 1, radiomedium: UDGM, acv: 9.2299309931%
Time 21.26s, nodes: 20, transmission: 1, radiomedium: UDGM, acv: 9.2299309931%
Time 20.76s, nodes: 20, transmission: 1, radiomedium: UDGM, acv: 9.2299309931%
Time 19.66s, nodes: 20, transmission: 1, radiomedium: UDGM, acv: 9.2299309931%
Time 20.93s, nodes: 20, transmission: 1, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 19.48s, nodes: 20, transmission: 1, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 21.92s, nodes: 20, transmission: 1, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 19.97s, nodes: 20, transmission: 1, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 22.53s, nodes: 20, transmission: 1, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 20.32s, nodes: 20, transmission: 1, radiomedium: UDGM, acv: 89.5129752975%
Time 20.6s, nodes: 20, transmission: 1, radiomedium: UDGM, acv: 89.5129752975%
Time 20.66s, nodes: 20, transmission: 1, radiomedium: UDGM, acv: 89.5129752975%
Time 19.18s, nodes: 20, transmission: 1, radiomedium: UDGM, acv: 89.5129752975%
Time 20.62s, nodes: 20, transmission: 1, radiomedium: UDGM, acv: 89.5129752975%
Time 24.19s, nodes: 20, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 22.97s, nodes: 20, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 23.76s, nodes: 20, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 23.8s, nodes: 20, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 22.85s, nodes: 20, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 22.99s, nodes: 20, transmission: 10000, radiomedium: UDGM, acv: 9.2299309931%
Time 25.12s, nodes: 20, transmission: 10000, radiomedium: UDGM, acv: 9.2299309931%
Time 21.24s, nodes: 20, transmission: 10000, radiomedium: UDGM, acv: 9.2299309931%
Time 23.16s, nodes: 20, transmission: 10000, radiomedium: UDGM, acv: 9.2299309931%
Time 24.1s, nodes: 20, transmission: 10000, radiomedium: UDGM, acv: 9.2299309931%
Time 23.45s, nodes: 20, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 25.04s, nodes: 20, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 24.96s, nodes: 20, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 22.92s, nodes: 20, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 24.1s, nodes: 20, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 21.43s, nodes: 20, transmission: 10000, radiomedium: UDGM, acv: 89.5129752975%
Time 23.52s, nodes: 20, transmission: 10000, radiomedium: UDGM, acv: 89.5129752975%
Time 21.0s, nodes: 20, transmission: 10000, radiomedium: UDGM, acv: 89.5129752975%
Time 22.71s, nodes: 20, transmission: 10000, radiomedium: UDGM, acv: 89.5129752975%
Time 21.68s, nodes: 20, transmission: 10000, radiomedium: UDGM, acv: 89.5129752975%
Time 34.14s, nodes: 50, transmission: 1, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 36.21s, nodes: 50, transmission: 1, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 34.03s, nodes: 50, transmission: 1, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 36.16s, nodes: 50, transmission: 1, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 34.75s, nodes: 50, transmission: 1, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 31.78s, nodes: 50, transmission: 1, radiomedium: UDGM, acv: 9.2299309931%
Time 30.42s, nodes: 50, transmission: 1, radiomedium: UDGM, acv: 9.2299309931%
Time 32.49s, nodes: 50, transmission: 1, radiomedium: UDGM, acv: 9.2299309931%
Time 33.14s, nodes: 50, transmission: 1, radiomedium: UDGM, acv: 9.2299309931%
Time 33.51s, nodes: 50, transmission: 1, radiomedium: UDGM, acv: 9.2299309931%
Time 34.06s, nodes: 50, transmission: 1, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 31.53s, nodes: 50, transmission: 1, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 30.25s, nodes: 50, transmission: 1, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 31.3s, nodes: 50, transmission: 1, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 29.59s, nodes: 50, transmission: 1, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 30.85s, nodes: 50, transmission: 1, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 28.17s, nodes: 50, transmission: 1, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 34.73s, nodes: 50, transmission: 1, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 31.19s, nodes: 50, transmission: 1, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 34.23s, nodes: 50, transmission: 1, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 31.07s, nodes: 50, transmission: 1, radiomedium: UDGM, acv: 9.2299309931%
Time 33.17s, nodes: 50, transmission: 1, radiomedium: UDGM, acv: 9.2299309931%
Time 31.88s, nodes: 50, transmission: 1, radiomedium: UDGM, acv: 9.2299309931%
Time 33.52s, nodes: 50, transmission: 1, radiomedium: UDGM, acv: 9.2299309931%
Time 41.7s, nodes: 50, transmission: 1, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
