Time 10.24s, nodes: 10, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 10.26s, nodes: 10, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 10.21s, nodes: 10, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 10.27s, nodes: 10, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 10.45s, nodes: 10, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 10.04s, nodes: 10, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 10.12s, nodes: 10, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 10.07s, nodes: 10, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 10.26s, nodes: 10, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 10.16s, nodes: 10, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 12.23s, nodes: 10, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 10.21s, nodes: 10, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 24.74s, nodes: 50, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 24.71s, nodes: 50, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 24.45s, nodes: 50, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 24.85s, nodes: 50, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 26.32s, nodes: 50, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 24.63s, nodes: 50, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 24.37s, nodes: 50, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 24.51s, nodes: 50, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 25.2s, nodes: 50, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 27.79s, nodes: 50, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 25.14s, nodes: 50, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 24.55s, nodes: 50, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 24.83s, nodes: 50, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 27.69s, nodes: 50, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 26.17s, nodes: 50, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 26.59s, nodes: 50, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 24.53s, nodes: 50, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 24.47s, nodes: 50, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 24.49s, nodes: 50, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 24.24s, nodes: 50, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 34.41s, nodes: 50, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
